User number,Recency,Frequency,Moneytary,Cluster Label
101000281,0.02283333333333331,0.000394230769230744,0.0446832,0
101000282,0.08372222222222224,9.85576923076696e-05,0.004264714285714248,1
101000283,0.02283333333333331,0.00029567307692307445,0.004264714285714248,0
101000320,0.038055555555555606,0.000197115384615372,0.008529428571428549,0
101000325,0.02283333333333331,0.0,0.042800000000000005,0
101000340,0.09133333333333332,9.85576923076696e-05,0.004264714285714248,1
101000353,0.1141666666666667,0.0,0.008529428571428549,1
101000373,0.1141666666666667,0.0,0.004264714285714248,1
101000391,0.02283333333333331,0.00029567307692307445,0.004264714285714248,0
101000426,0.007611111111111146,0.0,0.042800000000000005,0
101000442,0.02283333333333331,0.0,0.008529428571428549,0
101000486,0.007611111111111146,0.000197115384615372,0.004264714285714248,0
101000487,0.0,0.0,0.042800000000000005,0
101000503,0.03044444444444439,9.85576923076696e-05,0.017257571428571396,0
101000515,0.0989444444444444,0.0,0.008529428571428549,1
101000527,0.12938888888888886,9.85576923076696e-05,0.0028966428571428494,1
101000551,0.0,0.0008870192307692232,0.006611071428571398,0
101000558,0.03044444444444439,0.0,0.008529428571428549,0
101000603,0.06850000000000006,0.0009855769230768929,0.002208785714285699,1
101000609,0.0,0.0,0.004264714285714248,0
101000610,0.02283333333333331,0.00029567307692307445,0.004264714285714248,0
101000628,0.053277777777777764,0.0,0.02598571428571425,0
101000644,0.07611111111111116,0.0,0.032100000000000004,1
101000647,0.007611111111111146,0.000197115384615372,0.012926619047619015,0
101000649,0.08372222222222224,0.0,0.004264714285714248,1
101000662,0.015222222222222222,0.0,0.008529428571428549,0
101000667,0.053277777777777764,0.0,0.02598571428571425,0
101000670,0.038055555555555606,9.85576923076696e-05,0.11617142857142856,0
101000675,0.03044444444444439,0.0,0.02598571428571425,0
101000685,0.015222222222222222,0.000197115384615372,0.005686285714285699,0
101000692,0.015222222222222222,0.00029567307692307445,0.004264714285714248,0
101000716,0.03044444444444439,0.00029567307692307445,0.004264714285714248,0
101000735,0.09133333333333332,9.85576923076696e-05,0.004264714285714248,1
101000747,0.015222222222222222,0.00029567307692307445,0.004264714285714248,0
101000748,0.0989444444444444,9.85576923076696e-05,0.004264714285714248,1
101000797,0.12177777777777778,0.0,0.008529428571428549,1
101000817,0.03044444444444439,0.000197115384615372,0.015125214285714249,0
101000835,0.007611111111111146,0.00029567307692307445,0.004264714285714248,0
101000853,0.12177777777777778,0.0,0.008529428571428549,1
101000858,0.03044444444444439,0.000197115384615372,0.015125214285714249,0
101000871,0.007611111111111146,0.00029567307692307445,0.009694964285714248,0
101000872,0.007611111111111146,0.0,0.02598571428571425,0
101000877,0.02283333333333331,0.00029567307692307445,0.004264714285714248,0
101000886,0.12177777777777778,0.0,0.02598571428571425,1
101000895,0.03044444444444439,0.00029567307692307445,0.004264714285714248,0
101000899,0.04566666666666669,9.85576923076696e-05,0.006397071428571399,0
101000976,0.015222222222222222,0.0,0.004264714285714248,0
101000985,0.10655555555555561,9.85576923076696e-05,0.0050290000000000005,1
101001000,0.0989444444444444,0.0,0.02598571428571425,1
101001079,0.038055555555555606,0.000197115384615372,0.005686285714285699,0
101001122,0.02283333333333331,0.000394230769230744,0.0037174857142856996,0
101001131,0.13699999999999996,0.0,0.004264714285714248,1
101001133,0.1141666666666667,0.0,0.008529428571428549,1
101001153,0.07611111111111116,0.0,0.008529428571428549,1
101001168,0.03044444444444439,0.00029567307692307445,0.004264714285714248,0
101001172,0.015222222222222222,0.00029567307692307445,0.004264714285714248,0
